revenue,expenses,profit,year,month,day,company,date
1332,727,605,1995,9,10,xyz,2024-09-10
6131,2903,3228,1995,9,11,xyz,2024-09-11
4042,4617,-575,1995,9,12,xyz,2024-09-12
8291,6376,1915,1995,9,13,xyz,2024-09-13
6767,8895,-2128,1995,9,14,xyz,2024-09-14
2840,6001,-3161,1995,9,15,xyz,2024-09-15
1143,7238,-6095,1995,9,16,xyz,2024-09-16
1750,4565,-2815,1995,9,17,xyz,2024-09-17
9509,976,8533,1995,9,18,xyz,2024-09-18
8643,7603,1040,1995,9,19,xyz,2024-09-19
6119,736,5383,1995,9,20,xyz,2024-09-20
6201,6772,-571,1995,9,21,xyz,2024-09-21
8884,8656,228,1995,9,22,xyz,2024-09-22
5655,5551,104,1995,9,23,xyz,2024-09-23
7831,7161,670,1995,9,24,xyz,2024-09-24
3757,7013,-3256,1995,9,25,xyz,2024-09-25
4165,4844,-679,1995,9,26,xyz,2024-09-26
6676,9063,-2387,1995,9,27,xyz,2024-09-27
5352,8433,-3081,1995,9,28,xyz,2024-09-28
9563,1924,7639,1995,9,29,xyz,2024-09-29
5057,1391,3666,1995,9,30,xyz,2024-09-30
8336,8020,316,1995,10,1,xyz,2024-10-01
5184,5314,-130,1995,10,2,xyz,2024-10-02
3482,8712,-5230,1995,10,3,xyz,2024-10-03
9018,7627,1391,1995,10,4,xyz,2024-10-04
9580,3375,6205,1995,10,5,xyz,2024-10-05
7451,3866,3585,1995,10,6,xyz,2024-10-06
1002,5736,-4734,1995,10,7,xyz,2024-10-07
4999,3427,1572,1995,10,8,xyz,2024-10-08
1106,1114,-8,1995,10,9,xyz,2024-10-09
7037,1667,5370,1995,10,10,xyz,2024-10-10
4670,5054,-384,1995,10,11,xyz,2024-10-11
4874,9016,-4142,1995,10,12,xyz,2024-10-12
9048,2207,6841,1995,10,13,xyz,2024-10-13
5909,8440,-2531,1995,10,14,xyz,2024-10-14
8447,2590,5857,1995,10,15,xyz,2024-10-15
3108,2976,132,1995,10,16,xyz,2024-10-16
9778,9998,-220,1995,10,17,xyz,2024-10-17
3403,4875,-1472,1995,10,18,xyz,2024-10-18
7749,5466,2283,1995,10,19,xyz,2024-10-19
2085,2869,-784,1995,10,20,xyz,2024-10-20
3987,621,3366,1995,10,21,xyz,2024-10-21
3639,3631,8,1995,10,22,xyz,2024-10-22
4190,7821,-3631,1995,10,23,xyz,2024-10-23
8951,4841,4110,1995,10,24,xyz,2024-10-24
2431,7238,-4807,1995,10,25,xyz,2024-10-25
1129,2989,-1860,1995,10,26,xyz,2024-10-26
3602,5229,-1627,1995,10,27,xyz,2024-10-27
2587,2423,164,1995,10,28,xyz,2024-10-28
2243,6568,-4325,1995,10,29,xyz,2024-10-29
7069,8385,-1316,1995,10,30,xyz,2024-10-30
2057,2124,-67,1995,10,31,xyz,2024-10-31
7686,2269,5417,1995,11,1,xyz,2024-11-01
5453,7319,-1866,1995,11,2,xyz,2024-11-02
